seed,sample_size,instruments,null_kind,positive_rate,model,roc_auc,pr_auc,brier,log_loss,accuracy,balanced_accuracy,calibration_error,baseline_roc_auc,baseline_pr_auc,baseline_brier,baseline_log_loss,brier_improvement,log_loss_improvement
0,195,5,IID,0.517948717948718,regularized_logistic,0.5155887929218455,0.539037129082414,0.2634969944952593,0.7206430886347642,0.48205128205128206,0.5,0.11780725815316667,0.5,0.517948717948718,0.25032232981143576,0.6937918918244702,-0.013174664683823556,-0.02685119681029402
1,195,5,IID,0.5025641025641026,regularized_logistic,0.5024195245108352,0.4823305101321884,0.25225714679219935,0.6976852577708217,0.5025641025641026,0.5,0.04750604437177175,0.5,0.5025641025641026,0.2500603328552239,0.6932678826184675,-0.0021968139369754613,-0.004417375152354186
2,195,5,IID,0.5230769230769231,regularized_logistic,0.53584229390681,0.55271681309886,0.25336551718002054,0.6998953703467534,0.47692307692307695,0.5,0.06327552669752534,0.5,0.5230769230769231,0.2500449212695644,0.6932439032485289,-0.0033205959104561367,-0.006651467098224506
3,195,5,IID,0.4205128205128205,regularized_logistic,0.480897906324196,0.42966396583830235,0.2592086436587737,0.7116203425771843,0.4205128205128205,0.5,0.12452131764781477,0.5,0.4205128205128205,0.2537114776032882,0.7005746083872483,-0.005497166055485503,-0.01104573418993604
4,195,5,IID,0.5282051282051282,regularized_logistic,0.5377796538623891,0.5634563622144145,0.2553004888285933,0.7037918404789126,0.4717948717948718,0.5,0.07827023589558924,0.5,0.5282051282051282,0.25059546514091957,0.6943382512090626,-0.004705023687673726,-0.009453589269850071
5,195,5,IID,0.46153846153846156,regularized_logistic,0.533968253968254,0.5125252272480274,0.24924218300067094,0.6916313211674623,0.5384615384615384,0.5,0.028553016624465855,0.5,0.46153846153846156,0.24928898299296498,0.6917249453978737,4.679999229403875e-05,9.362423041137102e-05
6,195,5,IID,0.5487179487179488,regularized_logistic,0.5097706032285472,0.5468153425778243,0.247608334991391,0.6883562292726527,0.5487179487179488,0.5,0.003085359472134508,0.5,0.5487179487179488,0.25096842551388,0.6950842541664137,0.0033600905224889788,0.006728024893761009
7,195,5,IID,0.47692307692307695,regularized_logistic,0.4643685431161712,0.4600155375074466,0.25219664321069735,0.6976178682246978,0.5230769230769231,0.5,0.05196611262679035,0.5,0.47692307692307695,0.2505022250476796,0.6941517504697247,-0.0016944181630177413,-0.003466117754973186
8,195,5,IID,0.4205128205128205,regularized_logistic,0.5338873300237427,0.4745061791578425,0.24719602383219644,0.6875363946129908,0.5794871794871795,0.5,0.05939701946641901,0.5,0.4205128205128205,0.24733948745969783,0.6878237641042003,0.00014346362750139452,0.0002873694912095548
9,195,5,IID,0.49230769230769234,regularized_logistic,0.5021043771043772,0.4979383318839163,0.25042125829602746,0.6939906857290697,0.49743589743589745,0.5044191919191919,0.021516698735460037,0.5,0.49230769230769234,0.25054299569701527,0.6942361237608559,0.00012173740098780916,0.000245438031786116
10,195,5,IID,0.5076923076923077,regularized_logistic,0.5277777777777778,0.5483441551453047,0.25124910189227395,0.6956491737028923,0.49230769230769234,0.5,0.03761178080323241,0.5,0.5076923076923077,0.25074474736383073,0.6946377672496504,-0.0005043545284432183,-0.0010114064532418254
11,195,5,IID,0.48205128205128206,regularized_logistic,0.5033705498209395,0.5412644889312468,0.25924474346094806,0.7118513663137709,0.48205128205128206,0.5,0.0980753751108921,0.5,0.48205128205128206,0.250165411848357,0.6934780121776466,-0.009079331612591057,-0.018373354136124287
12,195,5,IID,0.4461538461538462,regularized_logistic,0.5528948488718604,0.4653457379361699,0.25681477974550737,0.7068186843156188,0.4461538461538462,0.5,0.0988480419767635,0.5,0.4461538461538462,0.24957206580046548,0.6922912930632007,-0.00724271394504189,-0.014527391252418087
13,195,5,IID,0.5076923076923077,regularized_logistic,0.4865319865319865,0.4959911558601432,0.2504160923515155,0.6939824353571251,0.5076923076923077,0.5,0.01766498883851897,0.5,0.5076923076923077,0.2500342032122648,0.6932157355629941,-0.0003818891392506907,-0.0007666997941310205
14,195,5,IID,0.49743589743589745,regularized_logistic,0.5039974752787713,0.5228247295442091,0.24995294974303106,0.6930530747650482,0.517948717948718,0.5179360403955396,0.01663127927588246,0.5,0.49743589743589745,0.2500188616792674,0.693184904278055,6.591193623634028e-05,0.00013182951300683143
15,195,5,IID,0.4717948717948718,regularized_logistic,0.5486492190797805,0.5056749075360405,0.24894580619338566,0.6910371927136447,0.5230769230769231,0.49514563106796117,0.012356137803947297,0.5,0.4717948717948718,0.24922243296398072,0.6915912945340881,0.000276626770595062,0.0005541018204433534
16,195,5,IID,0.48205128205128206,regularized_logistic,0.5688856119654518,0.520407837972181,0.2501924820487168,0.693536329496838,0.517948717948718,0.5,0.026817524186779518,0.5,0.48205128205128206,0.2505986875633758,0.6943448326289653,0.0004062055146589749,0.000808503132127325
17,195,5,IID,0.5230769230769231,regularized_logistic,0.5543959519291588,0.5779317219990218,0.24950738709753492,0.6921618389749847,0.5230769230769231,0.5037950664136622,0.01789212573611348,0.5,0.5230769230769231,0.251680580876674,0.6965113608797975,0.0021731937791390765,0.004349521904812748
18,195,5,IID,0.46153846153846156,regularized_logistic,0.4324867724867725,0.4284085084470646,0.2488976319083214,0.6909417575615842,0.5384615384615384,0.5,0.01345819767500911,0.5,0.46153846153846156,0.25145445088345164,0.6960571203403517,0.002556818975130243,0.005115362778767563
19,195,5,IID,0.48717948717948717,regularized_logistic,0.4292631578947368,0.4328982828770548,0.25031227594354144,0.6937737176624634,0.5128205128205128,0.5,0.01200697662862571,0.5,0.48717948717948717,0.2501509809999667,0.6934506891163997,-0.00016129494357475238,-0.00032302854606369724
20,195,5,IID,0.5128205128205128,regularized_logistic,0.5296842105263158,0.5459196439807943,0.24967597430299934,0.6924989735405447,0.5128205128205128,0.5,0.0024219105089356985,0.5,0.5128205128205128,0.250512802999655,0.6941779072118646,0.0008368286966556615,0.0016789336713198821
21,195,5,IID,0.48205128205128206,regularized_logistic,0.5264377501579945,0.510854377336085,0.24952298040665233,0.6921924368817821,0.517948717948718,0.5,0.00226280733250811,0.5,0.48205128205128206,0.2499710157110609,0.6930892119298978,0.0004480353044085672,0.0008967750481156944
22,195,5,IID,0.4461538461538462,regularized_logistic,0.5255427841634738,0.45638732256548553,0.25407164147687755,0.7013015538013762,0.4461538461538462,0.5,0.08402161468718888,0.5,0.4461538461538462,0.2488186494197013,0.6907840265984463,-0.005252992057176248,-0.010517527202929866
23,195,5,IID,0.4564102564102564,regularized_logistic,0.4854780580877676,0.47350684629909284,0.2523458195517668,0.6978425841697453,0.441025641025641,0.4714331142675429,0.07907970181757652,0.5,0.4564102564102564,0.25053781180002077,0.6942228536555869,-0.0018080077517460547,-0.0036197305141584257
